src,dst,amount,timestamp
A000572,A001371,1685.11,2024-09-18T02:26:42.181633
A001032,A001386,10.08,2024-09-05T23:09:56.181633
A001130,A001366,3745.05,2024-11-02T23:15:16.181633
A001036,A000271,3540.72,2024-11-16T21:34:40.181633
A000768,A001135,539.72,2025-02-16T05:23:37.181633
A000026,A001477,4329.82,2024-09-29T07:40:53.181633
A000862,A000521,6059.11,2025-01-07T14:40:04.181633
A001263,A001158,3228.98,2025-08-17T02:11:29.181633
A000426,A000662,996.5,2025-07-02T11:01:25.181633
A000620,A000951,2553.9,2025-08-17T18:38:38.181633
A001229,A001354,1957.94,2024-11-15T07:46:15.181633
A000646,A000199,1655.58,2025-07-12T18:12:31.181633
A000844,A000869,3294.59,2024-11-06T04:05:20.181633
A000980,A001262,3833.54,2025-06-26T19:13:40.181633
A001210,A001134,4056.61,2025-03-26T12:13:55.181633
A001087,A001495,535.04,2025-02-15T17:20:29.181633
A000148,A001062,671.65,2024-11-14T10:16:54.181633
A001340,A000664,2900.47,2025-07-19T02:38:05.181633
A000823,A000576,1365.95,2025-02-14T04:46:17.181633
A000595,A001312,296.7,2025-01-16T23:40:08.181633
A000210,A001010,3944.25,2024-09-22T07:36:06.181633
A000578,A000069,6279.46,2025-06-12T15:56:46.181633
A001364,A000881,474.29,2025-01-26T00:00:22.181633
A000226,A000699,3514.06,2025-03-08T17:43:16.181633
A000880,A000996,1457.71,2024-09-07T16:17:17.181633
A001056,A000196,817.98,2024-11-01T01:03:50.181633
A000283,A000865,313.98,2025-08-28T22:38:49.181633
A000223,A001145,415.67,2025-04-17T03:06:44.181633
A000686,A001267,2279.37,2024-11-01T09:34:07.181633
A001207,A001128,4016.42,2025-05-31T20:39:30.181633
A001112,A001003,917.91,2025-02-04T13:57:53.181633
A000393,A000019,1764.62,2024-12-20T20:02:53.181633
A000214,A001389,7770.51,2025-05-13T13:09:30.181633
A000162,A001409,106.69,2025-05-04T06:14:57.181633
A000915,A001133,3629.24,2024-11-12T08:03:31.181633
A000879,A001491,1607.53,2024-11-22T05:47:20.181633
A001415,A000434,500.56,2025-06-19T14:18:29.181633
A001384,A001089,1965.94,2025-06-24T03:25:15.181633
A001016,A000116,382.54,2024-11-25T08:41:43.181633
A000030,A000495,1580.69,2024-10-13T20:49:46.181633
A001454,A000429,4878.23,2025-05-16T03:37:47.181633
A000909,A000789,2867.7,2025-01-22T23:40:09.181633
A000207,A000831,814.19,2024-09-01T14:30:15.181633
A000968,A001254,1166.36,2025-05-28T18:25:04.181633
A000243,A000082,753.12,2025-07-31T16:14:24.181633
A000921,A001246,1872.62,2025-06-17T14:34:03.181633
A000488,A000430,3143.54,2025-06-20T14:18:14.181633
A001374,A000302,4104.91,2024-11-01T13:20:32.181633
A000249,A000135,1923.63,2024-11-30T17:00:56.181633
A000516,A000717,800.37,2025-01-20T09:19:03.181633
A001358,A000564,3680.9,2025-05-20T04:30:48.181633
A000025,A000034,2722.71,2025-07-24T11:44:06.181633
A001257,A000749,643.11,2025-06-28T02:04:26.181633
A000498,A000658,819.22,2025-02-24T20:35:21.181633
A001062,A000900,1335.8,2025-02-19T03:58:52.181633
A001477,A001485,1053.13,2024-11-05T17:54:02.181633
A000269,A001015,3044.16,2024-11-18T03:46:32.181633
A001269,A001335,8657.31,2025-04-05T03:51:19.181633
A000379,A000303,3173.5,2025-06-18T19:20:26.181633
A000167,A000955,339.39,2024-09-14T03:20:37.181633
A000806,A001264,1058.93,2025-01-15T23:24:06.181633
A000484,A000161,408.56,2025-01-30T00:33:07.181633
A000233,A001187,1093.96,2025-05-23T16:43:32.181633
A000572,A000005,1299.96,2024-10-05T19:05:29.181633
A000361,A000419,6535.56,2024-12-17T05:00:13.181633
A000604,A000905,575.75,2024-09-28T19:25:45.181633
A000351,A000675,5777.16,2025-07-07T10:35:35.181633
A001463,A000048,296.33,2025-07-28T17:22:37.181633
A000864,A000525,5995.21,2025-04-02T04:18:14.181633
A001213,A000194,1181.89,2024-10-07T11:54:21.181633
A000281,A000016,465.1,2025-02-07T15:09:10.181633
A000564,A001335,629.06,2025-07-20T13:20:51.181633
A000599,A000665,694.81,2024-11-02T13:18:28.181633
A000662,A000576,439.96,2025-01-20T21:58:05.181633
A000900,A000914,2537.25,2025-02-08T14:49:09.181633
A001205,A000944,2125.87,2025-07-05T23:20:12.181633
A000236,A000539,25.11,2025-03-26T12:51:35.181633
A000279,A000642,247.86,2024-10-13T02:43:18.181633
A001485,A001063,6320.03,2025-02-27T09:10:14.181633
A000843,A000220,522.36,2024-11-06T22:27:46.181633
A000337,A001068,1432.86,2024-10-03T14:43:43.181633
A000164,A000392,200.15,2025-04-24T20:42:34.181633
A001172,A001272,2089.45,2024-11-19T16:20:13.181633
A000278,A001162,391.77,2025-06-10T05:17:20.181633
A000164,A001322,274.21,2025-02-23T20:35:11.181633
A001236,A001359,1004.05,2025-03-06T21:50:23.181633
A000445,A000461,2184.36,2025-03-06T03:08:12.181633
A000967,A001053,2080.64,2025-01-20T02:25:05.181633
A001374,A000246,320.85,2025-07-20T00:50:39.181633
A000747,A000307,76.34,2025-04-19T16:30:40.181633
A000496,A000974,704.54,2024-09-26T16:07:45.181633
A000533,A000327,94.34,2024-09-06T01:18:03.181633
A000227,A001210,2364.54,2024-09-07T17:26:06.181633
A001415,A000881,9082.79,2024-12-19T02:07:23.181633
A001431,A000084,1533.83,2025-03-18T09:02:58.181633
A000704,A000036,248.41,2025-07-19T12:54:53.181633
A000099,A000466,3381.37,2025-05-15T23:18:45.181633
A001342,A000579,5089.63,2025-06-30T17:05:02.181633
A000771,A000188,4698.52,2025-01-16T09:27:29.181633
A001499,A000098,10061.6,2025-05-28T16:44:30.181633
A000262,A000370,2335.56,2025-02-18T12:01:36.181633
A001498,A001004,635.14,2025-07-03T00:19:30.181633
A000971,A000880,5218.35,2025-02-18T05:22:50.181633
A000626,A000370,1547.22,2025-05-06T08:44:30.181633
A000529,A000118,642.99,2025-02-28T14:15:22.181633
A001410,A000663,3020.27,2025-05-04T19:32:09.181633
A001178,A000401,42.68,2025-01-22T03:51:07.181633
A001458,A000440,3121.13,2024-12-07T07:04:28.181633
A001210,A000895,941.07,2025-03-13T09:31:21.181633
A000891,A001103,3409.26,2025-02-09T11:08:32.181633
A001120,A000638,499.9,2025-05-26T23:04:19.181633
A000129,A000546,464.67,2025-03-13T02:23:11.181633
A000473,A000729,1537.7,2025-01-15T19:29:42.181633
A000932,A001261,899.42,2025-07-20T02:19:30.181633
A000379,A000841,1487.38,2025-07-02T13:48:52.181633
A001250,A001142,912.82,2025-05-28T08:29:01.181633
A000542,A001206,202.93,2024-10-08T18:32:38.181633
A000404,A001215,1719.6,2024-10-09T17:58:26.181633
A000158,A000058,5273.5,2025-07-07T08:49:16.181633
A001327,A001284,5560.43,2025-07-14T23:54:09.181633
A000618,A000387,854.61,2025-01-03T12:57:14.181633
A001182,A000842,1700.49,2024-09-16T20:37:32.181633
A000500,A000742,13293.87,2025-06-23T18:52:48.181633
A000241,A000289,2184.32,2025-07-31T03:12:54.181633
A001390,A000057,6610.89,2024-12-10T14:19:15.181633
A000644,A000750,3583.0,2025-08-21T05:52:07.181633
A001075,A001084,4972.57,2025-01-06T08:56:24.181633
A000705,A000658,1007.94,2025-03-05T15:04:17.181633
A000025,A000054,2053.32,2025-06-16T21:57:18.181633
A000860,A000151,1129.94,2024-12-03T00:09:06.181633
A000255,A000821,2071.18,2025-03-13T15:37:38.181633
A001111,A000519,2069.99,2025-01-18T05:03:03.181633
A000533,A001021,2146.94,2025-06-07T08:18:38.181633
A000523,A000993,6091.27,2025-02-12T05:12:47.181633
A000607,A001280,3867.68,2024-10-19T09:04:13.181633
A001116,A001367,1635.17,2025-05-24T06:16:26.181633
A000068,A000926,1568.99,2025-08-06T23:27:35.181633
A000092,A000943,350.4,2025-08-02T00:46:28.181633
A001316,A000629,4670.88,2024-10-23T17:23:56.181633
A001245,A001037,3332.86,2025-03-06T20:57:38.181633
A000995,A000687,1305.65,2025-03-29T23:51:05.181633
A000224,A000486,990.52,2025-01-07T10:33:53.181633
A001318,A001294,774.71,2025-08-18T07:25:38.181633
A001009,A001205,1341.8,2024-09-02T13:50:21.181633
A000023,A001276,6945.65,2025-04-04T06:09:01.181633
A000756,A001198,1703.83,2024-10-18T00:19:15.181633
A000977,A000613,866.43,2025-07-01T02:16:01.181633
A001321,A001371,6700.06,2025-03-30T00:20:36.181633
A000452,A000754,341.56,2024-11-25T23:30:40.181633
A000456,A000022,2265.75,2025-08-26T06:13:58.181633
A000492,A000785,154.6,2024-11-11T04:27:44.181633
A000704,A001263,743.67,2025-07-10T01:23:56.181633
A000754,A000437,1094.39,2025-02-08T22:42:58.181633
A001184,A001442,4068.14,2025-07-06T17:18:13.181633
A001343,A000292,479.03,2025-08-25T01:24:10.181633
A000132,A000278,1757.41,2025-03-05T06:33:22.181633
A000615,A000286,3942.02,2024-10-01T06:25:06.181633
A000997,A000580,599.07,2025-06-14T07:51:59.181633
A001125,A000866,2412.58,2025-08-04T21:56:58.181633
A000768,A001259,258.25,2025-07-28T19:12:16.181633
A001179,A000394,684.52,2025-06-16T20:05:06.181633
A000352,A000708,367.12,2024-10-22T05:28:12.181633
A001035,A001088,1016.43,2024-09-28T08:13:45.181633
A000060,A001312,599.53,2025-02-17T07:49:52.181633
A000885,A000758,4666.13,2025-02-06T21:25:14.181633
A000392,A000238,1136.24,2025-08-24T12:07:41.181633
A000295,A000473,603.76,2024-09-21T11:26:30.181633
A000322,A001323,660.82,2024-11-01T19:32:55.181633
A000496,A000990,702.55,2024-11-10T11:15:13.181633
A000499,A001043,1560.71,2024-09-04T07:34:27.181633
A001036,A000109,861.97,2024-12-06T19:49:37.181633
A001151,A000525,848.43,2024-11-01T15:07:23.181633
A000344,A000289,2190.94,2025-05-27T11:22:31.181633
A001027,A000181,1035.21,2025-07-16T14:55:08.181633
A000317,A000524,3939.68,2025-01-01T22:56:27.181633
A001173,A001475,551.57,2025-05-23T12:43:55.181633
A000039,A000628,160.13,2025-03-02T15:22:51.181633
A000306,A001009,391.74,2025-04-10T14:10:05.181633
A000873,A001327,3367.71,2024-10-27T08:21:42.181633
A000160,A000066,955.07,2025-01-14T02:43:00.181633
A000552,A000176,191.9,2025-01-13T22:13:28.181633
A000548,A000347,1224.41,2025-05-10T17:38:02.181633
A000214,A000161,277.98,2025-02-02T10:35:33.181633
A000404,A000838,2345.83,2025-06-20T22:32:14.181633
A001257,A000187,1036.5,2025-05-12T04:47:06.181633
A000262,A000284,216.57,2025-01-29T03:26:44.181633
A000151,A000852,971.78,2025-08-22T07:17:46.181633
A000575,A000491,204.42,2024-10-29T12:22:21.181633
A001092,A000161,1925.19,2024-09-05T13:26:39.181633
A000284,A001186,2265.8,2025-03-08T13:56:38.181633
A000018,A000143,1156.81,2025-07-02T19:52:15.181633
A001010,A000634,780.71,2025-02-24T15:33:23.181633
A001415,A001470,455.92,2025-05-30T17:18:16.181633
A000395,A001282,3053.57,2025-01-12T05:22:46.181633
A000030,A000766,4858.18,2024-09-06T10:49:46.181633
A000574,A001355,1895.83,2024-10-19T01:56:02.181633
A000567,A000189,432.48,2024-10-23T22:49:34.181633
A001411,A000082,1167.52,2025-05-01T17:14:32.181633
A001355,A000374,6576.94,2025-04-22T15:53:44.181633
A000643,A000013,261.83,2025-01-07T19:46:12.181633
A000709,A000879,48.68,2025-07-24T03:53:40.181633
A000838,A000304,1560.12,2024-12-30T16:19:48.181633
A000191,A000782,612.34,2025-06-16T10:02:54.181633
A001004,A000313,3981.66,2025-07-28T11:49:02.181633
A000383,A000006,1279.72,2025-01-16T10:50:51.181633
A000995,A000486,2074.45,2025-08-28T16:14:35.181633
A000854,A000249,791.89,2024-10-25T00:52:27.181633
A000118,A000971,702.31,2024-09-22T09:14:49.181633
A001100,A001460,3254.0,2025-01-09T06:34:57.181633
A001373,A000311,1038.35,2025-01-31T11:27:08.181633
A000759,A000671,972.48,2025-05-21T19:59:31.181633
A000669,A000168,367.98,2025-02-09T15:04:35.181633
A000007,A000454,4431.0,2025-01-22T22:21:37.181633
A000367,A000928,2335.64,2025-02-06T15:00:14.181633
A000123,A000456,2140.8,2025-03-02T11:58:10.181633
A000366,A000904,729.73,2024-10-16T05:35:59.181633
A001471,A000857,1905.84,2024-12-25T18:56:03.181633
A000491,A000086,291.22,2024-12-14T17:12:13.181633
A000781,A001450,375.09,2024-10-28T00:11:16.181633
A000091,A001345,248.28,2025-06-19T05:52:52.181633
A000357,A001184,2945.85,2025-05-17T11:53:06.181633
A001234,A000801,3784.14,2025-05-24T03:17:06.181633
A000734,A000171,2261.34,2025-08-08T05:01:00.181633
A000694,A000198,2007.05,2024-11-24T01:06:13.181633
A000860,A000915,1887.5,2025-06-11T02:01:39.181633
A000616,A001420,264.59,2024-10-26T06:00:49.181633
A001171,A000541,5714.07,2025-02-05T22:26:05.181633
A000097,A001293,519.11,2025-01-23T15:15:23.181633
A000088,A001486,4966.14,2025-03-29T03:15:49.181633
A001093,A000412,987.34,2025-07-20T02:56:17.181633
A000728,A001112,674.91,2024-10-21T01:18:06.181633
A001137,A000284,975.32,2025-04-21T05:38:19.181633
A001365,A000271,3691.02,2025-01-19T04:48:07.181633
A000312,A000243,629.14,2025-03-01T00:41:55.181633
A000112,A001020,4189.08,2025-01-26T18:30:40.181633
A000685,A001477,1660.59,2025-02-13T16:22:50.181633
A001129,A000528,606.88,2025-04-07T19:31:47.181633
A000574,A001345,5341.08,2025-02-09T03:22:54.181633
A000122,A000711,4985.59,2025-07-05T16:45:19.181633
A000308,A000005,1919.83,2025-02-08T19:50:56.181633
A000291,A001302,1954.92,2024-09-17T11:23:41.181633
A000007,A000215,2367.54,2025-02-13T10:05:37.181633
A000065,A001337,1169.06,2025-03-30T22:05:00.181633
A000729,A001324,630.11,2025-03-10T17:25:25.181633
A001081,A000448,2818.56,2025-06-12T19:57:16.181633
A001314,A000242,680.67,2025-06-22T19:13:11.181633
A000112,A001482,3540.32,2025-04-28T22:36:53.181633
A001340,A001262,3752.04,2025-01-19T17:57:47.181633
A000310,A000625,3476.21,2024-09-11T16:26:41.181633
A000972,A000568,3636.41,2025-03-27T09:17:16.181633
A000991,A000646,3999.09,2025-05-19T11:57:00.181633
A001295,A000795,2624.63,2025-02-01T09:13:32.181633
A000821,A000360,502.47,2025-02-26T00:52:39.181633
A000964,A000647,2708.83,2024-11-17T11:10:28.181633
A001476,A001107,2910.15,2025-03-15T19:55:30.181633
A000146,A000666,1160.83,2025-08-21T02:15:42.181633
A001282,A000755,763.39,2024-10-27T18:39:38.181633
A000945,A000778,1029.49,2025-05-12T15:22:32.181633
A001401,A000036,3985.54,2024-09-24T00:27:07.181633
A001050,A001196,2135.77,2025-08-08T01:06:41.181633
A000478,A001400,595.52,2024-11-24T18:49:57.181633
A001397,A000835,1788.74,2025-05-15T03:13:15.181633
A000398,A001228,3027.87,2025-05-04T14:32:53.181633
A000626,A001487,600.54,2024-11-28T10:26:50.181633
A001030,A000221,572.77,2024-10-16T21:07:29.181633
A001468,A000737,1260.93,2024-10-08T05:48:35.181633
A001106,A000703,1792.01,2025-01-27T19:27:08.181633
A001305,A001156,542.3,2024-09-12T20:16:51.181633
A001238,A000130,1524.72,2025-02-28T01:27:03.181633
A000707,A000586,1833.3,2024-10-17T12:20:47.181633
A000796,A000647,7992.6,2025-02-14T22:54:02.181633
A001412,A001030,2477.47,2025-04-20T18:56:48.181633
A001117,A001204,3629.49,2024-11-10T22:01:27.181633
A001020,A000451,4214.73,2025-06-16T16:32:40.181633
A000417,A000731,566.92,2024-12-24T08:28:01.181633
A000628,A001361,2767.59,2025-02-17T05:43:21.181633
A000716,A000984,65.35,2024-10-10T02:56:50.181633
A000509,A000459,3589.89,2024-12-03T08:28:12.181633
A000734,A000182,4459.64,2025-03-10T09:39:20.181633
A000561,A000258,646.25,2024-09-25T11:10:26.181633
A001204,A000105,2547.15,2024-10-19T06:35:05.181633
A000481,A000074,500.89,2024-09-03T09:22:10.181633
A000844,A000916,3498.52,2024-12-09T07:26:05.181633
A000558,A000246,5108.42,2025-05-11T06:41:09.181633
A000792,A001028,1577.01,2025-04-03T06:14:17.181633
A001008,A000861,1960.89,2025-03-22T07:17:46.181633
A000166,A001425,4509.88,2025-03-08T11:23:45.181633
A001373,A001366,6055.35,2025-06-23T22:01:52.181633
A001198,A001243,3451.45,2025-03-25T07:36:55.181633
A001464,A000269,1567.81,2025-04-09T14:11:49.181633
A000852,A001310,6283.98,2025-05-23T03:15:55.181633
A001006,A001120,775.78,2025-03-31T14:56:09.181633
A000136,A000821,1567.95,2024-09-04T03:41:11.181633
A000532,A000672,14.17,2025-05-13T04:34:56.181633
A000568,A001118,951.73,2024-12-29T03:31:00.181633
A000783,A000698,1187.11,2024-09-03T08:55:41.181633
A000002,A000347,4370.25,2024-10-19T10:19:06.181633
A000530,A000859,356.11,2025-05-03T20:09:15.181633
A000434,A000734,101.55,2024-12-17T12:40:51.181633
A000849,A000923,4836.59,2025-01-11T09:58:16.181633
A001281,A000780,1480.36,2024-11-02T01:20:28.181633
A000242,A001177,8.37,2025-06-17T01:19:15.181633
A000276,A000383,1679.91,2025-01-15T21:49:10.181633
A000562,A000563,3331.54,2024-11-08T19:02:38.181633
A000877,A000874,712.52,2025-02-01T18:21:32.181633
A000518,A000996,3164.82,2025-05-14T14:09:23.181633
A000383,A000684,4573.15,2025-05-23T02:34:51.181633
A000297,A000836,614.53,2025-03-22T02:57:35.181633
A001407,A000246,170.89,2025-07-08T03:59:15.181633
A000881,A001409,964.64,2024-10-25T09:19:23.181633
A001254,A001478,396.35,2025-04-25T01:58:05.181633
A001426,A000638,20243.25,2024-11-28T21:38:43.181633
A000529,A000438,474.76,2025-04-19T15:35:17.181633
A001472,A000661,867.19,2025-08-01T08:27:46.181633
A000205,A000204,2920.53,2025-07-06T11:52:49.181633
A001143,A000048,252.16,2024-10-22T20:17:25.181633
A000502,A000664,125.66,2025-06-03T04:01:21.181633
A001146,A000799,663.81,2024-09-02T23:18:48.181633
A001233,A000736,245.81,2025-06-09T17:12:44.181633
A000759,A000113,7754.69,2025-02-01T05:25:01.181633
A001148,A001373,28.84,2024-10-26T14:42:22.181633
A000736,A000991,301.71,2025-08-11T04:03:02.181633
A000370,A000757,1602.38,2025-07-01T18:11:52.181633
A001185,A001050,4830.01,2025-04-30T19:30:41.181633
A000276,A000129,1894.17,2025-06-29T04:16:49.181633
A000096,A000536,939.41,2024-09-14T12:37:04.181633
A000939,A000700,1836.72,2025-03-30T10:59:22.181633
A000838,A001324,274.78,2025-01-29T15:37:45.181633
A000132,A000947,2111.47,2024-10-11T15:40:54.181633
A001143,A001041,1923.78,2025-07-17T05:12:49.181633
A000747,A000981,519.01,2025-04-25T09:43:52.181633
A000214,A001026,1312.49,2025-04-05T18:26:20.181633
A001379,A000677,2366.0,2025-02-13T07:56:37.181633
A000560,A000170,421.67,2024-10-13T12:40:33.181633
A001424,A000038,6879.62,2025-07-04T17:13:15.181633
A000253,A001161,2913.57,2025-03-23T19:55:24.181633
A001254,A000534,716.46,2025-03-15T21:49:13.181633
A000675,A000700,3106.6,2024-12-17T01:39:03.181633
A001049,A001031,424.12,2025-07-28T08:45:39.181633
A000751,A000578,1267.2,2025-04-29T00:05:36.181633
A001437,A001253,1834.89,2025-07-24T14:35:53.181633
A000252,A000552,260.99,2025-05-29T18:16:27.181633
A001303,A001003,1369.24,2025-08-13T07:27:29.181633
A001448,A000648,92.02,2025-07-31T22:23:22.181633
A001356,A000794,2906.11,2025-06-05T10:14:05.181633
A001417,A000068,565.34,2025-07-10T14:38:40.181633
A000271,A000898,2447.26,2025-08-18T14:32:51.181633
A001447,A000461,2369.58,2024-09-17T01:16:41.181633
A001213,A001248,309.38,2024-12-12T00:01:33.181633
A001429,A001362,1156.41,2024-11-17T13:58:56.181633
A001394,A000420,130.12,2024-12-24T21:27:19.181633
A001032,A001453,5161.02,2025-02-08T20:57:28.181633
A000669,A001153,8268.4,2025-07-17T13:06:48.181633
A001012,A000769,515.9,2025-08-22T00:04:05.181633
A000242,A000702,3379.09,2025-02-09T19:36:33.181633
A001098,A000106,1225.58,2024-12-25T19:23:31.181633
A000723,A001484,607.79,2024-10-22T17:15:57.181633
A000245,A000629,753.11,2025-07-26T05:24:47.181633
A000576,A000161,3825.66,2025-08-12T11:33:09.181633
A001350,A000866,572.85,2024-09-01T23:15:17.181633
A000874,A000710,1373.36,2025-06-25T22:25:51.181633
A000207,A000623,509.35,2025-01-04T18:15:33.181633
A001467,A000104,5316.07,2025-07-01T11:47:14.181633
A001479,A000490,218.51,2025-04-12T00:17:12.181633
A000798,A000138,1823.22,2025-01-11T04:43:58.181633
A000562,A000327,2931.53,2024-10-20T12:48:45.181633
A001415,A001481,4863.84,2025-01-09T03:36:14.181633
A000799,A000820,1048.13,2025-08-24T06:33:09.181633
A000429,A000275,1560.57,2025-02-09T13:36:47.181633
A000534,A000051,2896.91,2025-05-27T10:04:29.181633
A001088,A000907,3117.26,2025-07-05T10:13:33.181633
A001286,A001349,2134.48,2024-10-27T03:58:12.181633
A000331,A000328,3527.86,2024-11-09T09:23:44.181633
A000901,A001127,4185.87,2025-03-12T17:01:17.181633
A000685,A001321,572.62,2025-08-20T23:21:47.181633
A000145,A001070,192.63,2024-11-04T08:35:32.181633
A001190,A000499,1663.17,2025-04-04T00:09:51.181633
A000460,A000614,1379.16,2025-01-24T13:11:18.181633
A000417,A000502,1750.99,2025-08-03T05:19:11.181633
A000980,A000681,6387.54,2024-11-22T00:10:41.181633
A000922,A000225,2811.82,2024-12-13T04:55:09.181633
A000973,A000624,2206.16,2025-06-28T19:33:29.181633
A001494,A000516,149.82,2025-05-12T06:23:30.181633
A000544,A001463,534.92,2025-03-23T12:26:18.181633
A000310,A000115,5308.19,2025-06-28T15:53:46.181633
A000077,A001490,1888.02,2025-02-20T22:17:35.181633
A001259,A001442,5984.56,2025-03-06T05:36:07.181633
A000760,A000332,650.99,2025-08-13T15:00:23.181633
A000538,A000896,741.71,2025-02-28T13:10:02.181633
A000945,A000127,2695.73,2024-10-15T11:40:55.181633
A001478,A000393,2656.94,2025-07-19T10:37:42.181633
A000944,A000702,191.68,2024-11-04T16:39:25.181633
A000425,A000513,4112.91,2025-07-03T00:24:10.181633
A000173,A000440,5589.46,2024-11-09T06:36:05.181633
A001310,A000108,2063.08,2025-06-09T16:27:58.181633
A000825,A000155,423.74,2025-04-09T15:04:08.181633
A000662,A000157,2758.13,2025-08-18T01:07:40.181633
A001115,A000475,4542.81,2025-05-20T05:37:59.181633
A000407,A000465,1894.95,2025-07-16T15:25:33.181633
A000895,A001227,2276.89,2024-09-20T16:57:54.181633
A000499,A000949,419.98,2025-03-14T14:05:06.181633
A001113,A000347,1134.97,2025-07-18T19:20:49.181633
A000977,A000244,320.68,2024-12-18T18:17:14.181633
A000606,A000628,369.22,2025-01-11T04:48:21.181633
A000643,A001195,1662.74,2025-03-12T20:22:50.181633
A000752,A000448,1939.91,2025-05-20T17:21:14.181633
A001179,A000884,1074.16,2025-01-27T09:46:13.181633
A001151,A000535,2002.06,2025-03-17T15:48:32.181633
A000716,A000508,3421.72,2024-11-21T19:52:25.181633
A000102,A001125,1920.44,2025-01-09T11:40:13.181633
A000910,A000802,2417.56,2025-04-17T17:11:11.181633
A000813,A000287,2953.41,2025-02-20T15:02:20.181633
A000695,A001034,1754.24,2024-12-06T02:43:41.181633
A001210,A000117,17.16,2024-10-27T03:04:29.181633
A000270,A001224,373.4,2025-02-13T02:00:15.181633
A000798,A000125,5374.56,2024-09-07T12:22:12.181633
A000498,A001414,533.44,2024-10-10T10:35:22.181633
A001278,A000352,1422.96,2025-07-09T06:25:32.181633
A000710,A001083,2969.29,2025-01-19T04:19:42.181633
A000244,A000990,6312.87,2024-11-17T05:36:59.181633
A000106,A001334,4806.55,2025-06-02T11:57:59.181633
A001361,A000543,51.05,2024-10-15T02:00:00.181633
A000763,A001208,3218.01,2025-08-28T13:21:19.181633
A000599,A001495,2983.82,2024-10-25T21:59:59.181633
A000274,A001334,2749.42,2025-04-07T19:49:36.181633
A000196,A000048,1966.49,2025-05-11T22:51:59.181633
A001180,A000958,1357.1,2024-10-16T05:04:33.181633
A000252,A000104,305.68,2025-07-31T10:42:18.181633
A000536,A000485,598.98,2025-07-01T01:52:45.181633
A000646,A000947,8449.06,2025-01-28T06:24:43.181633
A001130,A000925,1779.16,2025-06-30T01:10:45.181633
A001453,A000864,1973.88,2025-03-24T12:02:55.181633
A001088,A000764,211.92,2025-07-30T02:22:00.181633
A001127,A000798,1518.58,2024-09-29T20:33:22.181633
A000959,A000672,1308.31,2025-04-20T02:13:05.181633
A000977,A000101,2379.73,2025-07-25T15:42:19.181633
